name,gender,meaning_keywords,vibe_keywords
Akmal,male,perfect,strong,bright
Dilnoza,female,charming,gentle,calm
Farhod,male,understanding,wise,deep
Gulnora,female,flower,beautiful,vibrant
Islom,male,peace,righteous,calm
Jamila,female,beautiful,graceful,elegant
Komil,male,complete,perfect,strong
Laylo,female,night,dark,mysterious
Nodir,male,rare,unique,precious
Omina,female,safe,trustworthy,calm
Rustam,male,hero,strong,brave
Saida,female,happy,fortunate,bright
Temur,male,iron,strong,resilient
Zarina,female,golden,precious,vibrant
Alisher,male,lion,brave,noble
Madina,female,city,peaceful,holy
Umid,male,hope,optimistic,future
Shahnoza,female,princess,royal,elegant
Aziz,male,dear,beloved,precious
Dildora,female,heart,beloved,kind
Eldor,male,ruler,leader,noble
Fotima,female,daughter,virtuous,pure
G'ayrat,male,energy,zeal,active
Habiba,female,beloved,friend,affectionate
Ibrohim,male,father,leader,strong
Jasmina,female,jasmine,fragrant,beautiful
Karim,male,generous,noble,kind
Lola,female,tulip,beautiful,delicate
Mansur,male,victorious,triumphant,strong
Nigora,female,picture,beautiful,charming
Otabek,male,father,master,respected
Parvina,female,Pleiades,star,bright
Qodir,male,powerful,able,strong
Rano,female,beautiful,fresh,youthful
Sanjar,male,prince,leader,noble
Tohir,male,pure,chaste,clean
Ulugbek,male,great,noble,wise
Vazira,female,minister,advisor,wise
Yulduz,female,star,bright,shining
Ziyod,male,increase,abundance,growth
Adham,male,dark,black,noble
Bahor,female,spring,fresh,new
Davron,male,era,time,destiny
Erkin,male,free,independent,liberal
Feruza,female,turquoise,precious,unique
Guli,female,rose,flower,beautiful
Husan,male,good,handsome,beautiful
Iskandar,male,defender,leader,strong
Javohir,male,jewel,precious,valuable
Kamola,female,perfection,complete,ideal
Latifa,female,gentle,kind,delicate
Maqsud,male,intended,desired,goal
Nargiza,female,narcissus,flower,fragrant
Ozod,male,free,independent,liberal
Pahlavon,male,hero,brave,strong
Qizlarxon,female,girl,lady,noble
Ravshan,male,bright,clear,luminous
Sarvar,male,leader,chief,master
Tojiddin,male,crown,religion,noble
Umidjon,male,little hope,optimistic,future
Vali,male,guardian,friend,saint
Yusuf,male,God increases,handsome,blessed
Zuhra,female,Venus,bright,shining
Anvar,male,light,radiant,bright
Barno,female,young,youthful,beautiful
Dilshod,male,happy heart,joyful,cheerful
Elmira,female,princess,noble,royal
Fazliddin,male,grace,religion,virtuous
G'ofur,male,forgiving,merciful,kind
Husniddin,male,beauty,religion,virtuous
Iroda,female,will,desire,strong
Jahongir,male,conqueror,world,powerful
Komila,female,perfect,complete,ideal
Lutfiya,female,gentle,kind,graceful
Murod,male,desire,wish,goal
Nodira,female,rare,unique,precious
Olim,male,scholar,wise,knowledgeable
Pulat,male,steel,strong,resilient
Qurbon,male,sacrifice,offering,devoted
Rahmon,male,merciful,compassionate,kind
Salim,male,safe,sound,healthy
Tursun,male,stay,live,enduring
Ubaydullo,male,servant of God,devoted,humble
Vahobjon,male,gift,little gift,blessed
Yulduzoy,female,star moon,bright,shining
Zafar,male,victory,triumph,successful
Aziza,female,dear,beloved,precious
Bahodir,male,brave,hero,courageous
Dilfuza,female,heart,soul,gentle
Elbek,male,ruler,leader,noble
Farangiz,female,splendid,beautiful,charming
Gulandom,female,flower,body,beautiful
Humoyun,male,blessed,fortunate,royal
Iqbol,male,prosperity,good fortune,success
Jalol,male,glory,majesty,dignity
Kamron,male,successful,victorious,fortunate
Latif,male,gentle,kind,subtle
Mahmud,male,praised,commendable,glorious
Naim,male,comfort,bliss,ease
Oydin,female,moonlight,bright,clear
Parizoda,female,fairy born,beautiful,ethereal
Qahramon,male,hero,champion,brave
Ramazon,male,holy month,blessed,spiritual
Sardor,male,commander,leader,chief
Toshkent,male,stone city,strong,resilient
Umar,male,long-lived,prosperous,leader
Vohid,male,unique,one,single
Yaxyo,male,God is gracious,blessed,kind
Zebo,female,beautiful,pretty,elegant